time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,1029,1029,964.2769679300292,992241.0,7.937928,7.937928
4000.0,993,2022,991.5991943605237,1976899.0,7.907596,7.877264
5000.0,172,2194,970.4360465116279,2143814.0,5.716837333333333,1.33532
6000.0,142,2336,988.1760563380282,2284135.0,4.56827,1.122568
7000.0,442,2778,988.5113122171946,2721057.0,4.3536912,3.495376
8000.0,296,3074,977.4324324324324,3010377.0,4.013836,2.31456
9000.0,205,3279,1063.0585365853658,3228304.0,3.6894902857142853,1.743416
10000.0,189,3468,975.2010582010582,3412617.0,3.412617,1.474504
11000.0,411,3879,1045.3187347931873,3842243.0,3.415327111111111,3.437008
12000.0,354,4233,983.0988700564972,4190260.0,3.352208,2.784136
13000.0,359,4592,1029.050139275766,4559689.0,3.3161374545454545,2.955432
14000.0,134,4726,982.679104477612,4691368.0,3.127578666666667,1.053432
15000.0,388,5114,986.8350515463917,5074260.0,3.1226215384615386,3.063136
16000.0,431,5545,1015.6751740139212,5512016.0,3.149723428571429,3.502048
17000.0,400,5945,1041.975,5928806.0,3.162029866666667,3.3343199999999995
18000.0,361,6306,1040.7396121883658,6304513.0,3.1522565,3.0056560000000005
19000.0,211,6517,1004.1895734597157,6516397.0,3.066539764705882,1.695072
20000.0,420,6937,930.6952380952381,6907289.0,3.0699062222222224,3.127136
21000.0,575,7512,1008.3843478260869,7487110.0,3.1524673684210525,4.638568
22000.0,115,7627,1066.1565217391305,7609718.0,3.0438872000000003,0.9808640000000001
23000.0,234,7861,976.1111111111111,7838128.0,2.9859535238095236,1.82728
24000.0,529,8390,1018.9678638941399,8377162.0,3.0462407272727274,4.312272
25000.0,316,8706,1028.9651898734178,8702315.0,3.0268921739130437,2.601224
26000.0,14,8720,831.4285714285714,8713955.0,2.9046516666666666,0.09312
27000.0,505,9225,1008.1168316831684,9223054.0,2.9513772800000004,4.072792
28000.0,545,9770,976.7743119266055,9755396.0,3.0016603076923074,4.258736
29000.0,430,10200,1005.693023255814,1.0187844E7,3.0186204444444447,3.459584
30000.0,115,10315,1042.2173913043478,1.0307699E7,2.9450568571428573,0.9588399999999999
31000.0,379,10694,1022.0052770448549,1.0695039E7,2.950355586206897,3.09872
32000.0,28,10722,767.6071428571429,1.0716532E7,2.8577418666666667,0.171944
33000.0,373,11095,908.3378016085791,1.1055342E7,2.8529914838709676,2.71048
34000.0,451,11546,993.749445676275,1.1503523E7,2.87588075,3.585448
35000.0,287,11833,1054.6898954703834,1.1806219E7,2.862113696969697,2.421568
36000.0,34,11867,842.8529411764706,1.1834876E7,2.7846767058823527,0.229256
37000.0,441,12308,1017.6077097505669,1.2283641E7,2.807689371428572,3.59012
38000.0,405,12713,990.5506172839506,1.2684814E7,2.8188475555555557,3.209384
39000.0,303,13016,936.973597359736,1.2968717E7,2.8040469189189188,2.271224
40000.0,425,13441,1009.0517647058823,1.3397564E7,2.8205397894736843,3.430776
41000.0,131,13572,981.6412213740458,1.3526159E7,2.774596717948718,1.02876
42000.0,42,13614,1071.404761904762,1.3571158E7,2.7142316,0.359992
43000.0,423,14037,1018.9101654846336,1.4002157E7,2.7321281951219514,3.447992
44000.0,415,14452,1004.6,1.4419066E7,2.7464887619047618,3.335272
45000.0,8,14460,1017.375,1.4427205E7,2.6841311627906976,0.065112
46000.0,684,15144,1022.8567251461989,1.5126839E7,2.7503343636363637,5.597072
47000.0,1031,16175,971.0931134820563,1.6128036E7,2.8672063999999997,8.009576
48000.0,153,16328,982.3986928104575,1.6278343E7,2.8310161739130435,1.202456
49000.0,286,16614,1039.6013986013986,1.6575669E7,2.8213904680851063,2.378608
50000.0,1145,17759,1014.6908296943232,1.773749E7,2.9562483333333334,9.294568
51000.0,571,18330,1002.4220665499124,1.8309873E7,2.9893670204081633,4.579064
52000.0,18,18348,859.9444444444445,1.8325352E7,2.9320563200000005,0.123832
53000.0,527,18875,975.0721062618596,1.8839215E7,2.9551709803921566,4.110904
54000.0,559,19434,1004.5957066189625,1.9400784E7,2.984736,4.492552
55000.0,591,20025,1009.2673434856176,1.9997261E7,3.0184544905660378,4.771816
56000.0,17,20042,941.5882352941177,2.0013268E7,2.9649285925925923,0.128056
57000.0,333,20375,972.7237237237238,2.0337185E7,2.958136,2.591336
58000.0,569,20944,987.0615114235501,2.0898823E7,2.9855461428571433,4.493104
59000.0,118,21062,1015.3813559322034,2.1018638E7,2.9499842807017544,0.95852
60000.0,236,21298,1014.978813559322,2.1258173E7,2.9321617931034485,1.91628
